date,timestamp,,error_message,elapsed,credit_count,notice,total_count,id,name,symbol,slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data > platform > token_address,data > cmc_rank,last_updated,price_usd,volume_24h,,,,,,,,,,,,
,,,,,,,,1975,Chainlink,LINK,chainlink,943,2017-09-20T00:00:00.000Z,platform,defi,oracles,smart-contracts,substrate,polkadot,polkadot-ecosystem,avalanche-ecosystem,solana-ecosystem,framework-ventures-portfolio,polygon-ecosystem,fantom-ecosystem,cardano-ecosystem,web3,near-protocol-ecosystem,arbitrum-ecosytem,cardano,injective-ecosystem,,,,,,,,,,,1000000000,507999970.5,1000000000,,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,21,,,,2023-01-14T18:09:00.000Z,6.759489011,611945551.7,168.5388,-0.45772681,5.87118625,16.74292264,3.50356222,2.88005633,-4.18610644,3433820218,0.3518,6759489011,,2023-01-14T18:09:00.000Z
,,,,,,,,3957,UNUS SED LEO,LEO,unus-sed-leo,23,2019-05-21T00:00:00.000Z,marketplace,centralized-exchange,discount-token,payments,kenetic-capital-portfolio,alameda-research-portfolio,,,,,,,,,,,,,,,,,,,,,,,,953954130,985239504,,1027,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,22,,,,2023-01-14T18:09:00.000Z,3.471421645,2353277.127,20.0977,-0.10492929,-0.16222165,0.22809392,-5.92969877,-7.66612929,-22.64854782,3311577016,0.3392,3420181740,,2023-01-14T18:09:00.000Z
,,,,,,,,328,Monero,XMR,monero,202,2014-05-21T00:00:00.000Z,mineable,pow,medium-of-exchange,privacy,ringct,boostvc-portfolio,electric-capital-portfolio,galaxy-digital-portfolio,,,,,,,,,,,,,,,,,,,,,,18226924.6,18226924.6,,,,,,,23,,,,2023-01-14T18:09:00.000Z,174.7489373,172360515.1,101.6167,-0.75918172,5.34023162,13.25529614,18.74722312,33.90388923,23.32398534,3185135704,0.3263,3185135704,,2023-01-14T18:09:00.000Z
,,,,,,,,1321,Ethereum Classic,ETC,ethereum-classic,369,2016-07-24T00:00:00.000Z,mineable,pow,ethash,platform,smart-contracts,dcg-portfolio,,,,,,,,,,,,,,,,,,,,,,,210700000,138922101.2,210700000,,,,,,,24,,,,2023-01-14T18:09:00.000Z,22.42462432,597452110.6,101.847,-0.04380705,6.66436244,11.67525893,23.0736723,8.4593614,-1.85175111,3115275929,0.3192,4724868344,,2023-01-14T18:09:00.000Z
,,,,,,,,11419,Toncoin,TON,toncoin,76,2021-08-26T13:40:22.000Z,pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000,1221401181,5047558528,,,,,,,25,3414166606,7840740991,,2023-01-14T18:09:00.000Z,2.296531451,45749187.81,17.4194,0.48642759,4.54111033,6.40751667,-3.36747592,37.33773117,87.40722789,2804986227,0.2872,11482657257,,2023-01-14T18:09:00.000Z
,,,,,,,,1831,Bitcoin Cash,BCH,bitcoin-cash,668,2017-07-23T00:00:00.000Z,mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,,,,,,,,,,,,,,,,,,,,,21000000,19283606.25,19283606.25,,,,,,,26,,,,2023-01-14T18:09:00.000Z,125.0951433,316106196.6,12.0627,-0.13509822,1.52191991,22.94258181,15.52934407,19.17897641,14.35175016,2412285486,0.2471,2626998008,,2023-01-14T18:09:00.000Z
,,,,,,,,512,Stellar,XLM,stellar,473,2014-08-05T00:00:00.000Z,medium-of-exchange,enterprise-solutions,decentralized-exchange-dex-token,smart-contracts,hashkey-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,50001806812,26203123979,50001787501,,,,,,,27,,,,2023-01-14T18:09:00.000Z,0.0863503973,124433652.4,75.0877,-0.71448829,4.80224499,14.7489308,4.87040301,-7.65582544,-23.40056004,2262650166,0.2317,4317675884,,2023-01-14T18:09:00.000Z
,,,,,,,,3897,OKB,OKB,okb,85,2019-04-30T00:00:00.000Z,marketplace,centralized-exchange,discount-token,alameda-research-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,300000000,,1027,Ethereum,ETH,ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c,28,,,,2023-01-14T18:09:00.000Z,32.08433478,31905210.3,41.5327,-1.68890285,10.15060362,18.43848348,41.36124531,69.46067634,92.6412476,1925060087,0.1972,9625300433,,2023-01-14T18:09:00.000Z
,,,,,,,,6535,NEAR Protocol,NEAR,near-protocol,213,2020-08-11T00:00:00.000Z,platform,staking,coinbase-ventures-portfolio,three-arrows-capital-portfolio,arrington-xrp-capital-portfolio,coinfund-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,kenetic-capital-portfolio,near-protocol-ecosystem,injective-ecosystem,,,,,,,,,,,,,,,,,,1000000000,850847527,1000000000,,,,,,,29,,,,2023-01-14T18:09:00.000Z,2.227147357,495917823,278.1708,0.17221194,20.88539774,43.31136214,38.56617105,9.96691119,-25.21102105,1894962821,0.1942,2227147357,,2023-01-14T18:09:00.000Z
,,,,,,,,3635,Cronos,CRO,cronos,176,2018-12-14T00:00:00.000Z,medium-of-exchange,cosmos-ecosystem,centralized-exchange,mobile,payments,injective-ecosystem,,,,,,,,,,,,,,,,,,,,,,,30263013692,25263013692,30263013692,,1027,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,30,,,,2023-01-14T18:09:00.000Z,0.07464053434,60083657.19,89.6175,-0.41005335,6.96251498,20.93466991,22.23137291,0.57042414,-28.48805499,1885644841,0.1932,2258847513,,2023-01-14T18:09:00.000Z
